groundHumidity,lightIntensity,airHumidity,airTemperature
83,19.17,56,21
83,18.33,56,21
83,20.00,55,21
83,17.50,55,21
83,12.50,56,21
83,12.50,56,21
83,12.50,56,21
83,17.50,56,21
83,12.50,56,21
83,13.33,56,21
83,11.67,56,21
83,16.67,55,21
83,16.67,56,21
83,17.50,56,21
83,15.83,56,21
84,16.67,56,21
83,17.50,56,21
83,18.33,56,21
83,20.00,56,21
83,19.17,56,21
83,20.00,56,21
83,15.00,56,21
83,15.00,56,21
83,15.00,56,21
83,15.83,56,21
83,16.67,56,21
83,15.83,56,21
83,15.83,56,21
83,15.83,56,21
83,15.83,57,21
83,15.83,57,21
83,14.17,57,21
84,16.67,56,21
83,16.67,56,21
84,16.67,56,21
84,16.67,56,21
84,18.33,56,21
84,17.50,56,21
84,20.83,56,21
84,29.17,56,21
84,29.17,56,21
84,29.17,56,21
84,29.17,56,21
83,29.17,56,21
84,29.17,56,21
84,29.17,56,21
83,29.17,56,21
83,29.17,56,21
84,29.17,56,21
84,29.17,56,21
84,30.00,56,21
84,30.00,56,21
84,30.83,56,21
84,30.83,56,21
84,30.83,56,21
84,30.83,56,21
84,31.67,56,21
84,31.67,56,21
84,31.67,56,21
84,31.67,56,21
84,31.67,56,21
84,32.50,56,21
84,32.50,56,21
84,32.50,56,21
84,33.33,56,21
84,33.33,56,21
84,33.33,56,21
84,33.33,56,21
84,33.33,56,21
84,33.33,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,33.33,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,35.00,56,21
84,35.00,56,21
84,35.00,56,21
84,35.00,56,21
84,35.00,56,21
84,35.00,56,21
84,34.17,56,21
84,34.17,56,21
85,34.17,56,21
85,33.33,56,21
84,33.33,56,21
85,33.33,56,21
85,33.33,56,21
85,32.50,56,21
85,32.50,56,21
85,32.50,56,21
85,33.33,56,21
85,33.33,56,21
85,33.33,56,21
85,33.33,56,21
85,33.33,56,21
85,33.33,56,21
85,33.33,56,21
85,34.17,56,21
85,34.17,56,21
85,34.17,56,21
85,34.17,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.83,56,21
85,35.83,56,21
85,35.83,56,21
85,36.67,56,21
85,37.50,56,21
85,37.50,56,21
85,37.50,56,21
85,38.33,56,21
85,38.33,56,21
85,38.33,56,21
85,38.33,56,21
85,39.17,56,21
85,39.17,56,21
85,39.17,56,21
85,39.17,56,21
85,39.17,56,21
85,39.17,56,21
85,40.00,56,21
85,40.00,56,21
85,40.00,56,21
85,40.83,56,21
85,40.83,56,21
85,41.67,56,21
85,41.67,56,21
86,41.67,56,21
85,41.67,56,21
85,41.67,56,21
85,41.67,56,21
85,41.67,56,21
85,42.50,56,21
85,42.50,56,21
85,43.33,56,21
86,43.33,56,21
86,43.33,56,21
86,44.17,57,21
86,44.17,57,21
86,45.00,57,21
86,45.00,57,21
86,45.00,57,21
86,45.83,57,21
86,45.83,57,21
86,46.67,57,21
86,47.50,57,21
86,33.33,57,21
86,29.17,57,21
86,29.17,57,21
86,29.17,57,21
86,45.00,57,21
86,45.83,58,21
86,35.83,57,21
86,50.00,57,21
86,31.67,57,21
86,25.83,57,21
86,32.50,57,21
86,51.67,57,21
86,52.50,57,21
86,53.33,57,21
86,53.33,57,21
86,55.00,57,21
86,55.83,57,21
86,56.67,57,21
86,58.33,57,21
86,59.17,57,21
86,60.00,57,21
86,60.83,57,21
86,62.50,57,21
86,63.33,57,21
86,65.00,57,21
86,65.83,57,21
86,67.50,57,21
86,69.17,57,21
86,70.00,57,21
86,70.00,57,21
86,70.00,58,21
86,69.17,57,21
86,69.17,58,21
86,69.17,58,21
86,70.00,58,21
86,70.83,58,21
86,71.67,58,21
86,71.67,58,21
86,71.67,58,21
86,70.83,58,21
86,70.83,58,21
86,71.67,58,21
86,70.83,58,21
86,70.00,58,21
86,70.00,58,21
86,69.17,58,21
86,68.33,58,21
86,68.33,58,21
86,67.50,58,21
86,66.67,58,21
86,65.83,58,21
86,65.00,58,21
86,64.17,58,21
86,63.33,58,21
87,62.50,58,21
86,62.50,58,21
